run,cold_start_ms,hot_start_ms,time_saved_ms
1,10040,10620,-580
2,10370,10804,-434
3,10628,10306,322
4,11077,10979,98
5,12409,3104,9305
6,10090,10589,-499
7,10503,3218,7285
8,12844,10260,2584
9,10159,3164,6995
10,10157,10881,-724
11,10471,12577,-2106
12,10164,10173,-9
13,10138,10136,2
14,10352,10621,-269
15,10237,10811,-574
16,10612,11110,-498
17,10812,3163,7649
18,10500,10169,331
19,10413,9499,914
20,10219,10739,-520
21,10570,3056,7514
22,10222,5263,4959
23,10989,3150,7839
24,14553,3486,11067
25,17378,3197,14181
26,11210,4468,6742
27,10834,3204,7630
28,10451,10148,303
29,10920,3136,7784
30,10765,10268,497
31,10149,10668,-519
32,11318,10159,1159
33,11397,3236,8161
34,10180,9361,819
35,15656,5393,10263
36,10074,9921,153
37,16736,9278,7458
38,10206,3050,7156
39,9914,10653,-739
40,10243,10953,-710
41,10914,3316,7598
42,9980,10365,-385
43,10350,7064,3286
44,9957,10798,-841
45,10336,3228,7108
46,18385,10523,7862
47,10192,3079,7113
48,10786,10462,324
49,10656,10752,-96
50,13096,12761,335
51,10117,10885,-768
52,9874,3008,6866
53,10800,2942,7858
54,10487,10726,-239
55,10758,3201,7557
56,11113,9394,1719
57,11256,10478,778
58,10662,3193,7469
59,10426,14228,-3802
60,10661,10752,-91
61,10185,3132,7053
62,10217,3037,7180
63,14114,10173,3941
64,17254,11110,6144
65,17269,10265,7004
66,10898,3087,7811
67,10925,10045,880
68,10548,3137,7411
69,10350,3165,7185
70,11000,3158,7842
71,10126,3087,7039
72,9992,11113,-1121
73,10505,10461,44
74,10983,9341,1642
75,11020,13369,-2349
76,10397,10119,278
77,10055,9388,667
78,9356,9246,110
79,17777,10399,7378
80,10401,3090,7311
81,11090,10986,104
82,10048,11061,-1013
83,10497,10183,314
84,10344,10652,-308
85,10257,10375,-118
86,10792,2939,7853
87,10569,2982,7587
88,9914,9770,144
89,9774,10446,-672
90,10503,10429,74
91,9812,10718,-906
92,9971,10808,-837
93,10185,10303,-118
94,10236,10397,-161
95,10197,10371,-174
96,10463,2984,7479
97,10121,9826,295
98,10070,9823,247
99,9828,10337,-509
100,10848,3047,7801
